"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"04.11.2022","1.676,60","1.631,70","1.686,40","1.631,10","","2,80%"
"03.11.2022","1.630,90","1.639,10","1.643,20","1.618,30","254,70K","-1,16%"
"02.11.2022","1.650,00","1.651,40","1.673,10","1.637,40","220,93K","0,02%"
"01.11.2022","1.649,70","1.636,10","1.660,30","1.633,60","197,98K","0,55%"
"31.10.2022","1.640,70","1.647,20","1.648,50","1.634,50","128,41K","-0,25%"
"28.10.2022","1.644,80","1.667,20","1.670,90","1.640,70","196,36K","-0,93%"
"27.10.2022","1.660,30","1.664,10","1.669,20","1.654,40","2,30K","-0,25%"
"26.10.2022","1.664,40","1.652,30","1.674,00","1.652,30","0,32K","0,67%"
"25.10.2022","1.653,30","1.649,60","1.660,50","1.637,00","0,59K","0,25%"
"24.10.2022","1.649,20","1.662,00","1.666,30","1.643,60","0,15K","-0,14%"
"21.10.2022","1.651,50","1.626,10","1.657,20","1.618,10","0,64K","1,21%"
"20.10.2022","1.631,80","1.628,90","1.644,30","1.621,20","0,50K","0,17%"
"19.10.2022","1.629,00","1.652,40","1.654,00","1.628,00","0,30K","-1,31%"
"18.10.2022","1.650,70","1.651,00","1.660,40","1.647,00","0,72K","-0,49%"
"17.10.2022","1.658,90","1.646,30","1.667,60","1.645,20","0,60K","0,92%"
"14.10.2022","1.643,70","1.665,60","1.672,10","1.640,80","0,64K","-1,99%"
"13.10.2022","1.677,00","1.680,20","1.688,90","1.648,30","237,01K","-0,03%"
"12.10.2022","1.677,50","1.673,40","1.685,10","1.668,00","131,77K","-0,50%"
"11.10.2022","1.686,00","1.675,60","1.691,30","1.667,50","171,81K","0,64%"
"10.10.2022","1.675,20","1.703,40","1.707,40","1.672,50","157,15K","-1,99%"
"07.10.2022","1.709,30","1.721,00","1.722,80","1.698,40","157,45K","-0,67%"
"06.10.2022","1.720,80","1.725,50","1.734,20","1.714,80","139,44K","0,00%"
"05.10.2022","1.720,80","1.734,40","1.736,60","1.708,80","173,22K","-0,56%"
"04.10.2022","1.730,50","1.708,40","1.738,70","1.704,00","205,08K","1,67%"
"03.10.2022","1.702,00","1.670,50","1.710,40","1.666,50","215,49K","1,79%"
"30.09.2022","1.672,00","1.669,50","1.684,40","1.667,50","179,99K","0,20%"
"29.09.2022","1.668,60","1.669,00","1.673,10","1.649,30","201,96K","0,21%"
"28.09.2022","1.665,10","1.631,40","1.666,00","1.618,00","1,90K","2,08%"
"27.09.2022","1.631,10","1.626,70","1.643,50","1.626,70","0,83K","0,18%"
"26.09.2022","1.628,20","1.643,00","1.651,00","1.623,20","0,64K","-1,32%"
"23.09.2022","1.650,00","1.674,60","1.674,60","1.642,70","1,36K","-1,56%"
"22.09.2022","1.676,10","1.674,30","1.688,00","1.659,00","0,32K","0,34%"
"21.09.2022","1.670,50","1.666,80","1.685,90","1.657,60","0,17K","0,29%"
"20.09.2022","1.665,70","1.682,30","1.682,30","1.665,90","0,07K","-0,41%"
"19.09.2022","1.672,60","1.680,20","1.680,20","1.663,50","0,18K","-0,32%"
"16.09.2022","1.677,90","1.665,60","1.680,00","1.659,10","0,32K","0,39%"
"15.09.2022","1.671,40","1.695,00","1.695,00","1.664,80","0,28K","-1,87%"
"14.09.2022","1.703,20","1.704,00","1.709,70","1.701,10","0,17K","-0,51%"
"13.09.2022","1.712,00","1.733,40","1.733,40","1.703,80","0,22K","-1,36%"
"12.09.2022","1.735,60","1.731,00","1.737,30","1.728,00","0,04K","0,70%"
"09.09.2022","1.723,60","1.716,00","1.726,40","1.716,00","0,02K","0,48%"
"08.09.2022","1.715,30","1.723,40","1.725,50","1.713,50","0,20K","-0,44%"
"07.09.2022","1.722,80","1.722,80","1.722,80","1.722,80","173,62K","0,87%"
"06.09.2022","1.707,90","1.719,70","1.719,70","1.714,20","0,02K","-0,98%"
"05.09.2022","1.724,80","1.719,20","1.726,60","1.718,75","","0,36%"
"04.09.2022","1.718,65","1.723,60","1.723,75","1.718,65","","0,06%"
"02.09.2022","1.717,70","1.709,60","1.709,60","1.709,60","0,00K","0,78%"
"01.09.2022","1.704,40","1.708,00","1.708,00","1.707,00","0,01K","-0,99%"
"31.08.2022","1.721,40","1.721,40","1.721,40","1.721,40","176,73K","-0,59%"
"30.08.2022","1.731,60","1.731,60","1.731,60","1.731,60","130,66K","-0,51%"
"29.08.2022","1.740,50","1.740,10","1.748,60","1.722,50","4,69K","-0,01%"
"26.08.2022","1.740,60","1.762,30","1.762,30","1.737,00","7,63K","-1,20%"
"25.08.2022","1.761,80","1.755,10","1.769,30","1.753,80","4,95K","0,56%"
"24.08.2022","1.752,00","1.752,20","1.759,70","1.745,50","4,64K","0,03%"
"23.08.2022","1.751,50","1.739,50","1.757,60","1.733,80","5,04K","0,74%"
"22.08.2022","1.738,60","1.750,50","1.752,30","1.730,40","7,38K","-0,82%"
"19.08.2022","1.753,00","1.762,70","1.762,70","1.749,50","6,91K","-0,46%"
"18.08.2022","1.761,10","1.766,30","1.775,90","1.758,90","3,92K","-0,31%"
"17.08.2022","1.766,50","1.780,50","1.786,30","1.763,70","5,60K","-0,72%"
"16.08.2022","1.779,40","1.785,20","1.787,60","1.775,20","3,52K","-0,48%"
"15.08.2022","1.787,90","1.808,20","1.808,20","1.777,60","5,56K","-0,96%"
"12.08.2022","1.805,20","1.793,90","1.808,60","1.789,90","5,25K","0,47%"
"11.08.2022","1.796,80","1.797,90","1.804,30","1.788,50","4,51K","-0,36%"
"10.08.2022","1.803,30","1.799,80","1.814,40","1.793,00","8,71K","0,10%"
"09.08.2022","1.801,50","1.794,00","1.806,00","1.788,50","6,34K","0,40%"
"08.08.2022","1.794,30","1.780,30","1.795,50","1.776,20","4,37K","0,78%"
"05.08.2022","1.780,50","1.796,00","1.800,50","1.769,80","7,23K","-0,87%"
"04.08.2022","1.796,20","1.771,90","1.801,00","1.769,50","9,44K","1,70%"
"03.08.2022","1.766,10","1.767,40","1.779,10","1.759,70","6,90K","-0,76%"
"02.08.2022","1.779,70","1.779,30","1.794,80","1.766,20","9,85K","0,12%"
"01.08.2022","1.777,60","1.772,20","1.781,80","1.764,10","7,76K","0,34%"
"29.07.2022","1.771,50","1.762,40","1.774,20","1.758,40","7,96K","0,71%"
"28.07.2022","1.759,00","1.741,30","1.764,00","1.740,90","20,39K","2,07%"
"27.07.2022","1.723,30","1.720,00","1.743,00","1.713,80","2,60K","0,08%"
"26.07.2022","1.721,90","1.721,80","1.729,90","1.715,90","0,77K","-0,08%"
"25.07.2022","1.723,20","1.730,10","1.734,30","1.717,50","0,52K","-0,47%"
"22.07.2022","1.731,40","1.721,00","1.740,30","1.716,40","0,69K","0,82%"
"21.07.2022","1.717,30","1.697,10","1.722,60","1.682,80","0,53K","0,79%"
"20.07.2022","1.703,90","1.713,70","1.715,00","1.694,60","0,16K","-0,60%"
"19.07.2022","1.714,10","1.711,20","1.719,10","1.707,70","0,10K","0,02%"
"18.07.2022","1.713,80","1.710,30","1.724,70","1.708,90","0,57K","0,37%"
"15.07.2022","1.707,50","1.712,70","1.716,70","1.703,50","0,27K","-0,14%"
"14.07.2022","1.709,90","1.738,70","1.738,70","1.700,60","0,55K","-1,70%"
"13.07.2022","1.739,50","1.728,00","1.748,20","1.710,90","0,18K","0,61%"
"12.07.2022","1.728,90","1.737,20","1.738,80","1.726,00","0,09K","-0,40%"
"11.07.2022","1.735,90","1.741,80","1.744,70","1.735,10","0,75K","-0,62%"
"08.07.2022","1.746,70","1.743,70","1.755,40","1.737,00","0,66K","0,15%"
"07.07.2022","1.744,10","1.743,00","1.748,10","1.742,40","0,79K","0,16%"
"06.07.2022","1.741,30","1.771,90","1.774,90","1.736,80","1,03K","-1,56%"
"05.07.2022","1.768,90","1.817,00","1.817,00","1.768,90","1,33K","0,28%"
"04.07.2022","1.763,90","1.814,40","1.815,20","1.763,00","310,37K","-2,33%"
"01.07.2022","1.805,90","1.810,30","1.816,80","1.788,90","0,23K","-0,34%"
"30.06.2022","1.812,00","1.816,30","1.830,00","1.811,50","0,10K","-0,55%"
"29.06.2022","1.822,00","1.822,00","1.822,00","1.822,00","155,54K","0,04%"
"28.06.2022","1.821,20","1.823,60","1.830,90","1.819,10","111,40K","-0,20%"
"27.06.2022","1.824,80","1.839,60","1.842,80","1.821,80","143,82K","-0,30%"
"24.06.2022","1.830,30","1.824,20","1.833,70","1.817,70","139,72K","0,03%"
"23.06.2022","1.829,80","1.839,70","1.848,90","1.823,50","167,07K","-0,47%"
"22.06.2022","1.838,40","1.834,90","1.850,30","1.824,50","149,55K","-0,02%"
"21.06.2022","1.838,80","1.840,60","1.848,40","1.830,70","176,30K","0,00%"
"20.06.2022","1.838,80","1.840,60","1.848,40","1.830,70","176,30K","-0,10%"
"17.06.2022","1.840,60","1.859,30","1.861,50","1.836,10","141,72K","-0,50%"
"16.06.2022","1.849,90","1.835,80","1.860,20","1.816,30","180,89K","1,67%"
"15.06.2022","1.819,60","1.809,70","1.845,40","1.808,40","203,42K","0,34%"
"14.06.2022","1.813,50","1.820,90","1.833,30","1.806,10","165,15K","-1,00%"
"13.06.2022","1.831,80","1.879,00","1.882,50","1.819,00","252,54K","-2,33%"
"10.06.2022","1.875,50","1.850,40","1.879,60","1.826,50","267,20K","1,23%"
"09.06.2022","1.852,80","1.855,10","1.857,80","1.841,90","131,29K","-0,20%"
"08.06.2022","1.856,50","1.855,00","1.862,40","1.846,60","114,14K","0,24%"
"07.06.2022","1.852,10","1.843,50","1.858,20","1.838,50","119,21K","0,46%"
"06.06.2022","1.843,70","1.853,70","1.861,20","1.843,00","103,18K","-0,35%"
"03.06.2022","1.850,20","1.872,60","1.878,60","1.849,70","115,34K","-1,13%"
"02.06.2022","1.871,40","1.849,90","1.874,40","1.846,50","127,47K","1,23%"
"01.06.2022","1.848,70","1.840,00","1.853,00","1.830,20","158,04K","0,02%"
"31.05.2022","1.848,40","1.856,50","1.867,90","1.837,60","201,80K","0,00%"
"30.05.2022","1.848,40","1.856,50","1.867,90","1.837,60","201,80K","-0,48%"
"27.05.2022","1.857,30","1.855,10","1.866,90","1.851,90","123,76K","0,36%"
"26.05.2022","1.850,60","1.854,50","1.855,00","1.840,40","1,12K","0,08%"
"25.05.2022","1.849,20","1.867,60","1.869,00","1.843,00","0,65K","-1,03%"
"24.05.2022","1.868,40","1.855,40","1.871,30","1.851,30","1,15K","0,96%"
"23.05.2022","1.850,60","1.847,40","1.865,00","1.847,40","0,84K","0,32%"
"20.05.2022","1.844,70","1.842,70","1.848,80","1.834,00","0,15K","0,04%"
"19.05.2022","1.844,00","1.818,30","1.850,40","1.818,30","0,47K","1,37%"
"18.05.2022","1.819,00","1.816,20","1.825,10","1.808,90","0,20K","-0,16%"
"17.05.2022","1.821,90","1.827,20","1.834,90","1.814,30","0,17K","0,28%"
"16.05.2022","1.816,80","1.815,00","1.828,00","1.790,00","0,22K","0,30%"
"13.05.2022","1.811,30","1.821,00","1.830,00","1.801,20","0,09K","-0,91%"
"12.05.2022","1.827,90","1.857,90","1.859,60","1.824,00","0,08K","-1,57%"
"11.05.2022","1.857,10","1.841,50","1.858,40","1.837,40","0,10K","0,69%"
"10.05.2022","1.844,40","1.861,90","1.866,60","1.839,90","0,08K","-0,95%"
"09.05.2022","1.862,00","1.883,60","1.883,60","1.858,00","0,01K","-1,28%"
"06.05.2022","1.886,20","1.873,10","1.892,00","1.873,10","0,01K","0,38%"
"05.05.2022","1.879,00","1.898,40","1.910,20","1.878,70","0,05K","0,37%"
"04.05.2022","1.872,10","1.871,90","1.889,20","1.866,10","0,09K","-0,10%"
"03.05.2022","1.873,90","1.868,70","1.879,30","1.859,70","0,16K","0,37%"
"02.05.2022","1.867,00","1.894,50","1.894,50","1.865,00","0,02K","-2,51%"
"29.04.2022","1.915,10","1.909,20","1.920,60","1.901,20","0,01K","1,07%"
"28.04.2022","1.894,80","1.894,80","1.894,80","1.894,80","170,91K","0,32%"
"27.04.2022","1.888,70","1.907,40","1.908,10","1.881,60","178,20K","-0,81%"
"26.04.2022","1.904,10","1.899,80","1.912,20","1.896,30","166,20K","0,43%"
"25.04.2022","1.896,00","1.931,90","1.935,50","1.891,80","231,49K","-1,98%"
"22.04.2022","1.934,30","1.953,10","1.957,80","1.928,00","176,68K","-0,71%"
"21.04.2022","1.948,20","1.960,00","1.960,10","1.938,00","154,92K","-0,38%"
"20.04.2022","1.955,60","1.952,70","1.960,90","1.941,00","139,51K","-0,17%"
"19.04.2022","1.959,00","1.981,20","1.985,10","1.945,50","181,44K","-1,38%"
"18.04.2022","1.986,40","1.978,50","2.003,00","1.974,40","138,13K","0,58%"
"14.04.2022","1.974,90","1.981,60","1.984,00","1.962,70","139,42K","-0,49%"
"13.04.2022","1.984,70","1.970,50","1.985,80","1.966,30","132,03K","0,44%"
"12.04.2022","1.976,10","1.957,40","1.982,70","1.953,00","172,39K","1,43%"
"11.04.2022","1.948,20","1.949,60","1.974,60","1.942,90","184,39K","0,13%"
"08.04.2022","1.945,60","1.934,30","1.952,20","1.930,40","142,50K","0,40%"
"07.04.2022","1.937,80","1.928,10","1.941,70","1.923,30","122,81K","0,76%"
"06.04.2022","1.923,10","1.927,60","1.937,60","1.916,20","153,97K","-0,23%"
"05.04.2022","1.927,50","1.937,30","1.948,90","1.920,90","147,26K","-0,34%"
"04.04.2022","1.934,00","1.927,10","1.941,60","1.918,20","108,44K","0,54%"
"01.04.2022","1.923,70","1.942,40","1.944,50","1.921,40","135,15K","-1,55%"
"31.03.2022","1.954,00","1.937,30","1.955,00","1.923,00","155,30K","0,77%"
"30.03.2022","1.939,00","1.924,00","1.943,40","1.920,10","136,04K","1,24%"
"29.03.2022","1.915,20","1.924,30","1.930,50","1.891,00","2,43K","-1,40%"
"28.03.2022","1.942,30","1.959,10","1.962,00","1.919,00","1,08K","-0,75%"
"25.03.2022","1.956,90","1.962,30","1.967,40","1.946,80","0,63K","-0,41%"
"24.03.2022","1.964,90","1.947,40","1.969,50","1.941,40","1,14K","1,27%"
"23.03.2022","1.940,20","1.924,00","1.950,80","1.920,50","0,81K","0,82%"
"22.03.2022","1.924,40","1.938,70","1.941,70","1.913,60","1,17K","-0,42%"
"21.03.2022","1.932,50","1.922,70","1.943,20","1.922,00","0,64K","0,04%"
"18.03.2022","1.931,70","1.945,70","1.948,30","1.921,60","0,26K","-0,73%"
"17.03.2022","1.946,00","1.930,60","1.952,50","1.928,30","0,42K","1,78%"
"16.03.2022","1.911,90","1.922,70","1.932,70","1.898,60","0,38K","-1,07%"
"15.03.2022","1.932,60","1.958,80","1.958,80","1.911,60","0,53K","-1,57%"
"14.03.2022","1.963,40","1.985,60","1.990,00","1.956,50","0,19K","-1,22%"
"11.03.2022","1.987,60","2.004,10","2.004,10","1.965,40","0,73K","-0,76%"
"10.03.2022","2.002,90","2.000,20","2.015,70","1.979,10","1,30K","0,61%"
"09.03.2022","1.990,70","2.054,80","2.071,00","1.984,30","0,61K","-2,72%"
"08.03.2022","2.046,30","2.004,30","2.078,70","1.992,60","1,59K","2,38%"
"07.03.2022","1.998,70","1.984,30","2.008,60","1.968,10","1,25K","1,51%"
"04.03.2022","1.968,90","1.944,30","1.974,00","1.940,00","0,79K","1,59%"
"03.03.2022","1.938,10","1.933,00","1.943,80","1.926,50","0,99K","0,70%"
"02.03.2022","1.924,60","1.947,20","1.951,10","1.922,90","0,66K","-1,06%"
"01.03.2022","1.945,30","1.909,00","1.944,40","1.909,00","0,04K","2,27%"
"28.02.2022","1.902,20","1.913,00","1.919,90","1.896,10","0,04K","0,69%"
"25.02.2022","1.889,20","1.889,20","1.889,20","1.889,20","229,78K","-1,93%"
"24.02.2022","1.926,30","1.911,90","1.976,50","1.878,60","423,05K","0,83%"
"23.02.2022","1.910,40","1.901,20","1.912,90","1.891,10","154,84K","0,16%"
"22.02.2022","1.907,40","1.903,50","1.918,30","1.889,70","334,59K","0,00%"
"21.02.2022","1.907,40","1.903,50","1.918,30","1.889,70","334,59K","0,40%"
"18.02.2022","1.899,80","1.901,40","1.905,00","1.888,00","161,75K","-0,12%"
"17.02.2022","1.902,00","1.872,00","1.904,00","1.869,70","268,55K","1,63%"
"16.02.2022","1.871,50","1.855,50","1.874,60","1.851,80","141,49K","0,82%"
"15.02.2022","1.856,20","1.873,80","1.881,60","1.845,40","214,88K","-0,71%"
"14.02.2022","1.869,40","1.862,20","1.876,50","1.851,90","231,02K","1,48%"
"11.02.2022","1.842,10","1.827,00","1.867,40","1.821,10","239,09K","0,26%"
"10.02.2022","1.837,40","1.834,00","1.843,30","1.821,80","227,46K","0,04%"
"09.02.2022","1.836,60","1.827,00","1.837,10","1.825,50","136,72K","0,48%"
"08.02.2022","1.827,90","1.821,50","1.829,90","1.816,00","142,41K","0,33%"
"07.02.2022","1.821,80","1.808,00","1.824,60","1.807,50","139,81K","0,77%"
"04.02.2022","1.807,80","1.805,40","1.815,80","1.792,10","177,71K","0,21%"
"03.02.2022","1.804,10","1.807,40","1.809,50","1.788,50","173,72K","-0,34%"
"02.02.2022","1.810,30","1.800,80","1.812,00","1.794,60","123,02K","0,49%"
"01.02.2022","1.801,50","1.798,90","1.809,70","1.796,20","128,88K","0,28%"
"31.01.2022","1.796,40","1.792,80","1.800,90","1.785,80","139,42K","0,55%"
"28.01.2022","1.786,60","1.799,60","1.800,30","1.780,60","217,15K","-0,42%"
"27.01.2022","1.794,20","1.820,30","1.822,50","1.792,00","2,18K","-2,01%"
"26.01.2022","1.831,00","1.849,40","1.851,60","1.816,00","1,86K","-1,25%"
"25.01.2022","1.854,10","1.845,20","1.855,60","1.836,90","0,81K","0,58%"
"24.01.2022","1.843,40","1.835,30","1.846,00","1.831,60","0,82K","0,54%"
"21.01.2022","1.833,50","1.841,60","1.844,80","1.831,00","0,55K","-0,59%"
"20.01.2022","1.844,30","1.841,30","1.850,10","1.839,00","0,77K","-0,02%"
"19.01.2022","1.844,70","1.814,00","1.845,10","1.811,20","0,38K","1,69%"
"18.01.2022","1.814,10","1.818,70","1.824,20","1.806,90","0,34K","0,09%"
"17.01.2022","1.812,40","1.818,70","1.822,90","1.804,70","362,94K","-0,32%"
"14.01.2022","1.818,30","1.822,90","1.830,60","1.816,30","0,13K","-0,27%"
"13.01.2022","1.823,30","1.827,80","1.827,80","1.814,10","0,11K","-0,32%"
"12.01.2022","1.829,10","1.822,50","1.828,90","1.817,70","0,06K","0,48%"
"11.01.2022","1.820,40","1.802,20","1.824,40","1.802,20","0,35K","1,09%"
"10.01.2022","1.800,70","1.799,70","1.802,40","1.792,50","0,54K","0,08%"
"07.01.2022","1.799,30","1.792,60","1.800,00","1.784,00","2,26K","0,46%"
"06.01.2022","1.791,00","1.812,30","1.812,30","1.788,70","0,66K","-1,95%"
"05.01.2022","1.826,60","1.821,90","1.831,50","1.811,60","0,60K","0,59%"
"04.01.2022","1.815,80","1.807,90","1.817,00","1.801,80","0,46K","0,82%"
"03.01.2022","1.801,10","1.826,80","1.826,80","1.800,20","0,02K","-1,56%"
"31.12.2021","1.829,70","1.828,50","1.830,20","1.823,60","0,02K","0,79%"
"30.12.2021","1.815,30","1.815,30","1.815,30","1.815,30","113,43K","0,53%"
"29.12.2021","1.805,80","1.806,60","1.808,00","1.789,10","138,69K","-0,28%"
"28.12.2021","1.810,90","1.812,10","1.821,60","1.805,50","100,54K","0,12%"
"27.12.2021","1.808,80","1.810,20","1.814,60","1.803,60","84,23K","-0,16%"
"23.12.2021","1.811,70","1.805,60","1.812,00","1.799,00","104,84K","0,53%"
"22.12.2021","1.802,20","1.789,40","1.806,30","1.785,80","110,41K","0,75%"
"21.12.2021","1.788,70","1.791,40","1.801,70","1.785,00","134,15K","-0,33%"
"20.12.2021","1.794,60","1.800,20","1.804,60","1.789,00","105,39K","-0,57%"
"17.12.2021","1.804,90","1.801,50","1.815,70","1.796,50","156,61K","0,37%"
"16.12.2021","1.798,20","1.777,90","1.800,70","1.775,70","167,78K","1,91%"
"15.12.2021","1.764,50","1.771,90","1.781,30","1.753,00","161,10K","-0,44%"
"14.12.2021","1.772,30","1.787,60","1.789,80","1.766,10","153,25K","-0,89%"
"13.12.2021","1.788,30","1.784,20","1.792,80","1.782,20","106,06K","0,20%"
"10.12.2021","1.784,80","1.776,30","1.791,00","1.770,40","142,00K","0,46%"
"09.12.2021","1.776,70","1.784,30","1.788,40","1.773,30","123,97K","-0,49%"
"08.12.2021","1.785,50","1.785,10","1.794,30","1.780,10","109,69K","0,04%"
"07.12.2021","1.784,70","1.779,50","1.789,30","1.772,40","129,89K","0,29%"
"06.12.2021","1.779,50","1.787,70","1.789,00","1.776,40","104,48K","-0,25%"
"03.12.2021","1.783,90","1.769,40","1.788,00","1.766,00","175,18K","1,20%"
"02.12.2021","1.762,70","1.783,80","1.785,20","1.762,20","172,72K","-1,21%"
"01.12.2021","1.784,30","1.777,40","1.795,70","1.773,70","180,34K","0,44%"
"30.11.2021","1.776,50","1.786,90","1.811,40","1.771,20","242,86K","-0,49%"
"29.11.2021","1.785,20","1.795,20","1.801,50","1.782,00","151,37K","-0,10%"
"26.11.2021","1.786,90","1.788,40","1.817,70","1.780,50","2,97K","-0,07%"
"25.11.2021","1.788,10","1.792,30","1.819,30","1.781,60","180,64K","0,14%"
"24.11.2021","1.785,60","1.793,40","1.797,00","1.779,20","0,97K","0,03%"
"23.11.2021","1.785,10","1.810,40","1.813,10","1.783,10","1,86K","-1,25%"
"22.11.2021","1.807,70","1.843,00","1.851,10","1.804,00","1,18K","-2,44%"
"19.11.2021","1.852,90","1.864,20","1.869,00","1.846,00","0,54K","-0,53%"
"18.11.2021","1.862,70","1.869,80","1.874,50","1.858,30","0,49K","-0,47%"
"17.11.2021","1.871,50","1.852,70","1.871,10","1.852,70","0,24K","0,87%"
"16.11.2021","1.855,40","1.867,00","1.880,10","1.852,40","0,65K","-0,67%"
"15.11.2021","1.868,00","1.870,10","1.873,10","1.860,00","0,24K","-0,09%"
"12.11.2021","1.869,70","1.865,90","1.872,20","1.849,80","0,24K","0,24%"
"11.11.2021","1.865,20","1.855,50","1.868,90","1.847,00","0,19K","0,85%"
"10.11.2021","1.849,50","1.827,80","1.869,80","1.827,80","0,23K","0,96%"
"09.11.2021","1.832,00","1.828,30","1.835,10","1.822,70","0,14K","0,15%"
